Name,PlayerURL,Season,Team,TeamURL,Lg,Salary
Mark Aguirre,http://basketball-reference.com/players/a/aguirma01.html,1987-88,Dallas Mavericks,/teams/DAL/1988.html,NBA,715700
Mark Aguirre,http://basketball-reference.com/players/a/aguirma01.html,1988-89,Dallas Mavericks,/teams/DAL/1989.html,NBA,715700
Mark Aguirre,http://basketball-reference.com/players/a/aguirma01.html,1990-91,Detroit Pistons,/teams/DET/1991.html,NBA,1115000
Mark Aguirre,http://basketball-reference.com/players/a/aguirma01.html,1991-92,Detroit Pistons,/teams/DET/1992.html,NBA,1232000
Mark Aguirre,http://basketball-reference.com/players/a/aguirma01.html,1992-93,Detroit Pistons,/teams/DET/1993.html,NBA,1351000
Mark Aguirre,http://basketball-reference.com/players/a/aguirma01.html,1993-94,Detroit Pistons,/teams/DET/1994.html,NBA,1471000
Mark Aguirre,http://basketball-reference.com/players/a/aguirma01.html,1993-94,Los Angeles Clippers,/teams/LAC/1994.html,NBA,150000
Blake Ahearn,http://basketball-reference.com/players/a/ahearbl01.html,2008-09,San Antonio Spurs,/teams/SAS/2009.html,NBA,125562
Danny Ainge,http://basketball-reference.com/players/a/aingeda01.html,1985-86,Boston Celtics,/teams/BOS/1986.html,NBA,550000
Danny Ainge,http://basketball-reference.com/players/a/aingeda01.html,1987-88,Boston Celtics,/teams/BOS/1988.html,NBA,625000
Danny Ainge,http://basketball-reference.com/players/a/aingeda01.html,1988-89,Boston Celtics,/teams/BOS/1989.html,NBA,675000
Danny Ainge,http://basketball-reference.com/players/a/aingeda01.html,1990-91,Portland Trail Blazers,/teams/POR/1991.html,NBA,725000
Danny Ainge,http://basketball-reference.com/players/a/aingeda01.html,1991-92,Portland Trail Blazers,/teams/POR/1992.html,NBA,725000
Danny Ainge,http://basketball-reference.com/players/a/aingeda01.html,1992-93,Phoenix Suns,/teams/PHO/1993.html,NBA,1330000
Danny Ainge,http://basketball-reference.com/players/a/aingeda01.html,1993-94,Phoenix Suns,/teams/PHO/1994.html,NBA,1690000
Danny Ainge,http://basketball-reference.com/players/a/aingeda01.html,1994-95,Phoenix Suns,/teams/PHO/1995.html,NBA,2080000
Alexis Ajinca,http://basketball-reference.com/players/a/ajincal01.html,2008-09,Charlotte Bobcats,/teams/CHA/2009.html,NBA,1276320
Alexis Ajinca,http://basketball-reference.com/players/a/ajincal01.html,2009-10,Charlotte Bobcats,/teams/CHA/2010.html,NBA,1372080
Alexis Ajinca,http://basketball-reference.com/players/a/ajincal01.html,2010-11,Toronto Raptors,/teams/TOR/2011.html,NBA,1467840
Josh Akognon,http://basketball-reference.com/players/a/akognjo01.html,2013-14,Memphis Grizzlies,/teams/MEM/2014.html,NBA,788872
Solomon Alabi,http://basketball-reference.com/players/a/alabiso01.html,2010-11,Toronto Raptors,/teams/TOR/2011.html,NBA,770000
Solomon Alabi,http://basketball-reference.com/players/a/alabiso01.html,2011-12,Toronto Raptors,/teams/TOR/2012.html,NBA,830000
Mark Alarie,http://basketball-reference.com/players/a/alarima01.html,1987-88,Washington Bullets,/teams/WSB/1988.html,NBA,232500
Mark Alarie,http://basketball-reference.com/players/a/alarima01.html,1988-89,Washington Bullets,/teams/WSB/1989.html,NBA,250000
Mark Alarie,http://basketball-reference.com/players/a/alarima01.html,1990-91,Washington Bullets,/teams/WSB/1991.html,NBA,500000
Mark Alarie,http://basketball-reference.com/players/a/alarima01.html,1991-92,Washington Bullets,/teams/WSB/1992.html,NBA,550000
Cole Aldrich,http://basketball-reference.com/players/a/aldrico01.html,2010-11,Oklahoma City Thunder,/teams/OKC/2011.html,NBA,2126520
Cole Aldrich,http://basketball-reference.com/players/a/aldrico01.html,2011-12,Oklahoma City Thunder,/teams/OKC/2012.html,NBA,2286000
Cole Aldrich,http://basketball-reference.com/players/a/aldrico01.html,2012-13,Sacramento Kings,/teams/SAC/2013.html,NBA,2445480
LaMarcus Aldridge,http://basketball-reference.com/players/a/aldrila01.html,2006-07,Portland Trail Blazers,/teams/POR/2007.html,NBA,4027320
LaMarcus Aldridge,http://basketball-reference.com/players/a/aldrila01.html,2007-08,Portland Trail Blazers,/teams/POR/2008.html,NBA,4329360
LaMarcus Aldridge,http://basketball-reference.com/players/a/aldrila01.html,2008-09,Portland Trail Blazers,/teams/POR/2009.html,NBA,4631400
LaMarcus Aldridge,http://basketball-reference.com/players/a/aldrila01.html,2009-10,Portland Trail Blazers,/teams/POR/2010.html,NBA,5844827
LaMarcus Aldridge,http://basketball-reference.com/players/a/aldrila01.html,2010-11,Portland Trail Blazers,/teams/POR/2011.html,NBA,11244000
LaMarcus Aldridge,http://basketball-reference.com/players/a/aldrila01.html,2011-12,Portland Trail Blazers,/teams/POR/2012.html,NBA,12372000
LaMarcus Aldridge,http://basketball-reference.com/players/a/aldrila01.html,2012-13,Portland Trail Blazers,/teams/POR/2013.html,NBA,13500000
LaMarcus Aldridge,http://basketball-reference.com/players/a/aldrila01.html,2013-14,Portland Trail Blazers,/teams/POR/2014.html,NBA,14128000
Cory Alexander,http://basketball-reference.com/players/a/alexaco01.html,1995-96,San Antonio Spurs,/teams/SAS/1996.html,NBA,490000
Cory Alexander,http://basketball-reference.com/players/a/alexaco01.html,1996-97,San Antonio Spurs,/teams/SAS/1997.html,NBA,521000
Cory Alexander,http://basketball-reference.com/players/a/alexaco01.html,1997-98,San Antonio Spurs,/teams/SAS/1998.html,NBA,562380
Cory Alexander,http://basketball-reference.com/players/a/alexaco01.html,1999-00,Denver Nuggets,/teams/DEN/2000.html,NBA,1980000
Cory Alexander,http://basketball-reference.com/players/a/alexaco01.html,2000-01,Denver Nuggets,/teams/DEN/2001.html,NBA,2160000
Cory Alexander,http://basketball-reference.com/players/a/alexaco01.html,2001-02,Denver Nuggets,/teams/DEN/2002.html,NBA,1995741
Cory Alexander,http://basketball-reference.com/players/a/alexaco01.html,2002-03,Denver Nuggets,/teams/DEN/2003.html,NBA,2149259
Cory Alexander,http://basketball-reference.com/players/a/alexaco01.html,2003-04,Denver Nuggets,/teams/DEN/2004.html,NBA,2302778
Courtney Alexander,http://basketball-reference.com/players/a/alexaco02.html,2000-01,Dallas Mavericks,/teams/DAL/2001.html,NBA,1319400
Courtney Alexander,http://basketball-reference.com/players/a/alexaco02.html,2001-02,Washington Wizards,/teams/WAS/2002.html,NBA,1418400
Courtney Alexander,http://basketball-reference.com/players/a/alexaco02.html,2002-03,New Orleans Hornets,/teams/NOH/2003.html,NBA,1517280
Courtney Alexander,http://basketball-reference.com/players/a/alexaco02.html,2003-04,New Orleans Hornets,/teams/NOH/2004.html,NBA,2168193
Courtney Alexander,http://basketball-reference.com/players/a/alexaco02.html,2004-05,Sacramento Kings,/teams/SAC/2005.html,NBA,79029
Gary Alexander,http://basketball-reference.com/players/a/alexaga01.html,1994-95,Cleveland Cavaliers,/teams/CLE/1995.html,NBA,150000
Joe Alexander,http://basketball-reference.com/players/a/alexajo01.html,2008-09,Milwaukee Bucks,/teams/MIL/2009.html,NBA,2403120
Joe Alexander,http://basketball-reference.com/players/a/alexajo01.html,2009-10,Chicago Bulls,/teams/CHI/2010.html,NBA,2583360
Joe Alexander,http://basketball-reference.com/players/a/alexajo01.html,2010-11,New Orleans Hornets,/teams/NOH/2011.html,NBA,90465
Victor Alexander,http://basketball-reference.com/players/a/alexavi01.html,1991-92,Golden State Warriors,/teams/GSW/1992.html,NBA,750000
Victor Alexander,http://basketball-reference.com/players/a/alexavi01.html,1992-93,Golden State Warriors,/teams/GSW/1993.html,NBA,942000
Victor Alexander,http://basketball-reference.com/players/a/alexavi01.html,1993-94,Golden State Warriors,/teams/GSW/1994.html,NBA,1160000
Victor Alexander,http://basketball-reference.com/players/a/alexavi01.html,1994-95,Golden State Warriors,/teams/GSW/1995.html,NBA,1377500
Victor Alexander,http://basketball-reference.com/players/a/alexavi01.html,1995-96,Toronto Raptors,/teams/TOR/1996.html,NBA,1595000
Victor Alexander,http://basketball-reference.com/players/a/alexavi01.html,2001-02,Detroit Pistons,/teams/DET/2002.html,NBA,653350
Steve Alford,http://basketball-reference.com/players/a/alforst01.html,1987-88,Dallas Mavericks,/teams/DAL/1988.html,NBA,100000
Steve Alford,http://basketball-reference.com/players/a/alforst01.html,1988-89,Golden State Warriors,/teams/GSW/1989.html,NBA,150000
Steve Alford,http://basketball-reference.com/players/a/alforst01.html,1990-91,Dallas Mavericks,/teams/DAL/1991.html,NBA,250000
Jerome Allen,http://basketball-reference.com/players/a/allenje01.html,1995-96,Minnesota Timberwolves,/teams/MIN/1996.html,NBA,200000
Jerome Allen,http://basketball-reference.com/players/a/allenje01.html,1996-97,Indiana Pacers,/teams/IND/1997.html,NBA,247500
Jerome Allen,http://basketball-reference.com/players/a/allenje01.html,1997-98,Cleveland Cavaliers,/teams/CLE/1998.html,NBA,35000
